EXV1.DE,EXV2.DE,EXV3.DE,EXV5.DE,EXV6.DE
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
0.2,0.2,0.2,0.2,0.2
